Symbol,Sentimental
A,0.06107973110689139
AAPL,0.07005924917592854
ABBV,0.05011236929528377
ABNB,0.11974630710137957
ABT,0.0406140350877193
ACGL,0.05011236929528377
ACN,0.05011236929528377
ADBE,0.12768964430818533
ADI,-0.01409460678210676
ADM,0.05011236929528377
ADP,0.06312377467062961
ADSK,0.025739357864357867
AEE,0.05011236929528377
AEP,0.15628950216450216
AES,0.10752688109706235
AFL,0.05011236929528377
AIG,0.05011236929528377
AIZ,0.05011236929528377
AJG,0.05011236929528377
AKAM,0.05011236929528377
ALB,0.08547536375661376
ALGN,0.05011236929528377
ALL,0.06749126042368295
ALLE,0.06757616019355651
AMAT,0.1212417760279159
AMCR,0.05011236929528377
AMD,0.06954639113813832
AME,0.05011236929528377
AMGN,0.03483746663222253
AMP,0.016296154455453245
AMT,-0.027575137281019634
AMZN,0.05776027101124196
ANET,0.08394214616901494
AON,0.04530181553140738
AOS,0.05011236929528377
APA,0.09836265586265583
APD,0.05011236929528377
APH,0.09723809523809525
APO,0.14784219748505464
APP,0.0792721645054166
APTV,0.05011236929528377
ARE,0.0782727909905033
ATO,0.05011236929528377
AVB,0.05011236929528377
AVGO,0.10624310802459906
AVY,0.05011236929528377
AWK,0.05011236929528377
AXON,0.13899786324786326
AXP,0.05011236929528377
AZO,0.05011236929528377
BA,0.12869898976651029
BAC,0.13806186868686868
BALL,0.04709645672976334
BAX,0.06101190476190476
BBY,0.0389101289866596
BDX,0.05011236929528377
BEN,-0.02805895653041694
BF-B,0.1875
BG,0.024999999999999984
BIIB,0.05011236929528377
BK,0.22358526946471746
BKNG,0.07404761904761906
BKR,0.012499999999999992
BLDR,0.020000000000000004
BLK,0.05011236929528377
BMY,0.10981006207196685
BR,0.04189495555437584
BRK-B,0.01896816381263387
BRO,0.0630716849990948
BSX,0.05011236929528377
BX,-0.6
BXP,0.014336273179556758
C,0.0681594276801915
CAG,0.05011236929528377
CAH,0.05011236929528377
CARR,0.05765473787663137
CAT,0.012844474229365403
CB,0.10586469027687033
CBOE,-0.036250296925296924
CBRE,0.08113237639553429
CCI,0.24872685185185184
CCL,0.14854574614615396
CDNS,0.03141525141525142
CDW,0.05011236929528377
CEG,0.22464545454545454
CF,0.12510926573426573
CFG,0.05011236929528377
CHD,0.2199018959435626
CHRW,0.05011236929528377
CHTR,0.20833333333333334
CI,0.21750349263621047
CINF,0.05011236929528377
CL,0.07925675315908595
CLX,0.05011236929528377
CMCSA,0.13914058164058163
CME,0.0787416808728537
CMG,0.19494593699388688
CMI,0.05011236929528377
CMS,0.05688177496174116
CNC,0.14378598484848487
CNP,0.05011236929528377
COF,0.045625000000000034
COIN,0.08547487869179599
COO,0.08606007309769065
COP,0.08480434446505877
COR,0.325
COST,0.05606115260830262
CPAY,0.05011236929528377
CPB,0.03272357723577235
CPRT,0.025739357864357867
CPT,0.12666666666666665
CRL,-0.2029761904761905
CRM,0.029690321460604227
CRWD,0.09385830795062716
CSCO,-0.07559440580477471
CSGP,0.05011236929528377
CSX,0.15208553791887128
CTAS,0.020001889644746786
CTRA,0.13733175914994097
CTSH,0.05011236929528377
CTVA,0.05011236929528377
CVS,0.10157697436745959
CVX,-0.17121769162210337
D,0.0830105625013846
DAL,0.08412797860352209
DASH,0.051452970258158946
DAY,0.06997404738525911
DD,0.06924178830599056
DDOG,0.030122036693465245
DE,0.06849365000971502
DECK,0.09118637735619042
DELL,0.11211938542545873
DG,0.06184187702148995
DGX,0.1132886557886558
DHI,0.0009500357054148083
DHR,0.05011236929528377
DIS,0.03233433856671608
DLR,0.09723809523809525
DLTR,0.0770954316686024
DOC,0.06697554478412933
DOV,0.04153282828282828
DOW,0.02403984542739327
DPZ,0.05720470006184291
DRI,0.06722161590641267
DTE,0.001316951288442183
DUK,0.11231113398796323
DVA,0.05011236929528377
DVN,0.05011236929528377
DXCM,0.26935690943043883
EA,-0.1376094041639218
EBAY,-0.2650247148684649
ECL,0.05011236929528377
ED,0.08414994714850488
EFX,0.05011236929528377
EG,0.2238759297520661
EIX,0.015784832451499118
EL,0.06045777585792286
ELV,0.0387937473023004
EME,0.05011236929528377
EMN,0.05011236929528377
EMR,0.03862121212121211
EOG,0.16629629629629633
EPAM,0.05011236929528377
EQIX,0.09723809523809525
EQR,0.05011236929528377
